,,,,
Constant,,Dimension,Alias,Definition & Notes
Universal constants used in too many categories to constrain their scope ,,,,
Speed of light c ,2.997 924 580 e+8 ,m.s-1,m/s ,Assigned (see SI units) 
Permeability of vacuum μ0 ,12.566 370 614 359 ... e-7 ,kg.m.s-2.A-2,H/m | N/A2,= 4π.10-7. Assigned.
Permittivity of vacuum ε0 ,8.854 187 817 620 ... e-12 ,kg-1.m-3.s4.A2,F/m ,= 1 / (c2 μ0). Assigned.
Gravitation constant G ,6.673 84[80] e-11 ,kg-1.m3.s-2,,force = G M1M2 / r122
Planck constant h ,6.626 069 57[29] e-34 ,kg.m2.s-1,J.s ,#NAME?
Angular Planck constant ,1.054 571 726[47] e-34 ,kg.m2.s-1,J.s ,"= h/2π, the angular momentum quantum"
Charge/Quantum ratio ,2.417 989 348[53] e+14 ,kg-1.m-2.s2.A,A/J ,= e / h 
Elementary charge e ,1.602 176 565[35] e-19 ,s.A ,C ,
Quantum/Charge ratio ,4.135 667 52[10] e-15 ,kg.m2.s-2.A-1,J/A ,= h / e 
Fine structure constant α ,7.297 352 5698[24] e-3 ,Dimensionless ,,= μ0 c e2 / 2h.
Inverse of fine structure constant,137.035 999 074[45] ,Dimensionless ,,= 1/α = 2h / (μ0 c e2). See ref.[1].
Boltzmann constant k ,1.380 6488[13] e-23 ,kg.m2.s-2.K-1,J/K ,Sets thermodynamic temperature 
Planck mass mp ,2.176 51[13] e-8 ,kg ,,mp2 = (h/2π) c / G 
Planck time tp ,5.391 06[32] e-44 ,s ,,= (h/2π) / (mpc2)
Planck length lp ,1.616 199[97] e-35 ,m ,,= ctp 
Planck temperature ,1.416 833[85] e+32 ,K ,,= mpc2 / k
Electromagnetic constants other than those already listed ,,,,
Impedance of vacuum Z0 ,376.730 313 461 ... ,kg.m2.s-3.A-2,Ω ,Derived from assigned's: Z02 = μ0/ε0.
Magnetic flux quantum Φ0 ,2.067 833 758[46] e-15 ,kg.m2.s-2.A-1,Wb ,= h / 2e 
Josephson constant KJ ,4.835 978 70[11] e14 ,kg-1.m-2.s2.A,Hz/V ,= 2e / h . Conventional: 483597.9 GHz/V
von Klitzing constant RK ,2.581 280 744 34[84] e+4 ,kg.m2.s-3.A-2,Ω ,= h / e2.  Conventional: 25812.807 Ω
Conductance quantum G0 ,7.748 091 7346[25] e-5 ,kg-1.m-2.s3.A2,S ,= 2e2 / h = 2 / RK
Inverse of conductance quantum ,1.290 640 372 17[42] e+4 ,kg.m2.s-3.A-2,Ω ,= RK / 2 
"Electromagnetic radiation constants. For solar constant, see solar system ",,,,
Stefan-Boltzmann const. σ ,5.670 373[21] e-8 ,kg.s-3.K-4,W/m2.K4,= 2 π5 k4 / 15 h3 c2 
1st radiation constant c1 ,3.741 771 53[17] e-16 ,kg.m4.s-3,W.m2,= 2 π h c2 
2nd radiation constant c2 ,1.438 7770[13] e-2 ,m.K ,,= h c / k 
Wien λ displacement constant λmaxT ,2.897 7721[26] e-3 ,m.K ,,= c2 / 4.9651423... 
Wien f displacement constant f/T ,5.878 9254[53] e+10 ,s-1.K-1,Hz/K ,
Max. luminous efficacy: absolute ,683 ,cd.sr.kg-1.m-1.s3,lm/W ,"100% efficient, ideal 555 nm light source. "
Max. luminous efficacy: black-body ,95 ,cd.sr.kg-1.m-1.s3,lm/W ,Achieved at 7000 °K 
Solar luminous efficacy ,93 ,cd.sr.kg-1.m-1.s3,lm/W ,see Wikipedia 
Solar illuminance ,1.280[10] e5 ,cd.sr.m-2,lx ,"in the brightest sunlight, on Earth "
Electron and atomic physics constants ,,,,
Rydberg constant R∞ ,1.097 373 156 8539[55] e+7 ,m-1,m-1,= c α2 me / 2h 
Hartree energy EH ,4.359 744 34[19] e-18 ,kg.m2.s-2,J ,= α2 me c2 = 2h c R∞ 
Bohr radius ,5.291 772 1092[17] e-11 ,m ,m ,= α / (4π R∞) 
Bohr magneton μB ,9.274 009 68[20] e-24 ,m2.A,J/T ,= (1/2)(h/2π)(e/me) 
Bohr magneton in Hz/T ,1.399624555[31] e+10 ,kg-1.s.A,Hz/T ,= μB/h = [Larmor frequency]/[g-factor]; ~ 14 GHz/T 
Quantum of circulation ,3.636 947 5520[24] e-4 ,m2.s-1,m2/s,= h / 2me 
Richardson constant ,1.20173 e+6 ,A.m-2.K-2,,= 4πemek2 / h3; arises in thermionic emission 
"Electron (stable lepton, charge -1, spin 1/2, fermion, its antiparticle positron has positive charge) ",,,,
Electron rest mass me ,9.109 382 91[40] e-31 ,kg ,,= 5.485 799 0946[22] e-4 u 
Electron rest energy (mec2) ,8.187 105 06[36] e-14 ,kg.m2.s-2,J ,= 0.510 998 928[11] MeV 
Electron charge/mass ratio ,- 1.758 820 088[39] e11 ,kg-1.s.A,C/kg ,= e / me 
"Compton wavelength of electron λC,e ",2.426 310 2389[16] e-12 ,m ,,= h / c me 
Classical electron radius re ,2.817 940 3267[27] e-15 ,m ,,= e2 / (4πε0mec2 )
Thomson cross section σe ,0.665 245 8734[13] e-28 ,m2,,= (8π/3) re2
Electron magnetic moment μe ,- 9.284 764 30[21] e-24 ,m2.A,J/T ,
Electron g-factor ge ,- 2.002 319 304 361 53[53] ,Dimensionless ,,= (μe / μB) / Se 
Electron magnetic moment anomaly ,1.159 652 180 76[27] e-3 ,Dimensionless ,,= (abs(ge) - 2) / 2 
Electron gyromagnetic ratio γe/2π ,28.024 952 66[62] e+9 ,kg-1.s.A,Hz/T ,= μe / (hSe); ~ 28 GHz/T 
Electron/Proton mass ratio ,5.446 170 2178[22] e-4 ,Dimensionless ,,
Electron/Proton magnetic moments ratio ,- 658.210 6848[54] ,Dimensionless ,,
Electron/Proton magnetic moments ratio ,- 658.227 597 1[72] ,Dimensionless ,,Shielded in water; standard conditions 
Physico-chemical constants ,,,,
Atomic mass constant u ,1.660 538 921[73] e-27 ,kg ,,Mass of 12C nuclide / 12
Molar mass of  12C ,12 e-3 ,kg ,,Assigned 
Molar mass constant ,1.0 e-3 ,kg.mol-1,kg/mol ,Assigned 
Boltzmann constant k ,1.380 6488[13] e-23 ,kg.m2.s-2.K-1,J/K ,Sets thermodynamic temperature 
Boltzmann constant in eV/K ,8.617 3324[78] e-5 ,kg.m2.s-3.A-1.K-1,V/K ,= k/e. Electrochemical potential ~ (k/e)T ln(c1/c2) 
Avogadro's number NA ,6.022 141 29[27] e+23 ,mol-1,count/mol ,~ 602 Z (Zetta) particles in a mole of substance 
Molar Planck constant ,3.990 312 7176[28] e-10 ,kg.m2.s-1.mol-1,J.s/mol ,= h NA 
Molar Planck constant by c ,0.119 626 565 779[84] ,kg.m3.s-2.mol-1,J.m/mol ,= h c NA 
Electron molar mass ,5.485 799 0946[22] e-7 ,kg.mol-1,kg/mol ,= me NA 
Electron molar charge ,- 9.648 533 65[21] e+4 ,s.A.mol-1,C/mol ,= e NA. 
Faraday constant F ,+9.648 533 65[21] e+4 ,s.A.mol-1,C/mol ,= |electron molar charge|. 
Molar gas constant R ,8.314 4621[75] ,kg.m2.s-2.K-1.mol-1,J/K.mol ,= k NA 
Molar volume of ideal gas Vm ,22.413 968[20] e-3 ,m3.mol-1,m3/mol,"= (RT/p)  at T=273.15 K, p=101325 Pa "
Loschmidt constant n0 ,2.686 7805[24] e+25 ,m-3,count/m3,"= NA / Vm at T=273.15 K, p=101325 Pa "
Sackur-Tetrode constant S0/R ,- 1.164 8708[23] ,Dimensionless ,,"(5/2)+ln[(2πmukT/h2)(kT/p)] at T=1K, p=101325 Pa. "
Basic nuclear physics data (those listed in CODATA) ,,,,
Fermi coupling GF/(hc/2π)3,3.670 336[31] e+48 ,kg-2,,= (1.026 8365[88] e-5) / mp2
Fermi coupling in eV-2 ,1.166 364[5] e+4 ,eV-2,,
Weak mixing angle sin2θW ,0.2223[21] ,Dimensionless ,,= 1- (mW/mZ)2
